item	total	count part-1	specif part-1	count part-2	specif part-2
找到	51	34	-0.99	17	0.99
div	51	51	7.88	0	-7.88
里程	51	35	-0.93	16	0.93
12月	50	34	-0.94	16	0.94
应当	50	31	-1.26	19	1.26
各	50	36	0.92	14	-0.92
微博	50	36	0.92	14	-0.92
强大	50	30	-1.44	20	1.44
推广	50	34	-0.94	16	0.94
吗	50	42	1.95	8	-1.95
神经元	50	28	-1.90	22	1.90
概念	50	30	-1.44	20	1.44
留学	50	48	5.37	2	-5.37
货运	50	33	-1.01	17	1.01
应	49	30	-1.31	19	1.31
丰富	49	28	-1.74	21	1.74
针对	49	35	0.91	14	0.91
完善	49	30	-1.31	19	1.31
信任	49	31	-1.16	18	1.16
因	49	31	-1.16	18	1.16
类	49	34	-0.91	15	0.91
07	49	44	3.13	5	-3.13
步骤	49	29	-1.51	20	1.51
些	49	33	-0.96	16	0.96
写	49	40	1.58	9	-1.58
一样	49	33	-0.96	16	0.96
形式	48	29	-1.37	19	1.37
icon	48	48	7.41	0	-7.41
然后	48	34	0.90	14	0.90
network	48	31	-1.07	17	1.07
介绍	48	36	1.00	12	-1.00
技巧	48	38	1.29	10	-1.29
标准	47	35	0.97	12	-0.97
限制	47	29	-1.25	18	1.25
京	47	33	0.90	14	0.90
专	47	37	1.24	10	-1.24
变	47	29	-1.25	18	1.25
出行	47	37	1.24	10	-1.24
历史	47	36	1.08	11	-1.08
看到	47	31	-0.99	16	0.99
许可证	47	35	0.97	12	-0.97
支撑	47	29	-1.25	18	1.25
特定	47	28	-1.44	19	1.44
得到	47	34	0.91	13	-0.91
热门	47	43	3.48	4	-3.48
高速	47	30	-1.10	17	1.10
真实	47	28	-1.44	19	1.44
and	47	43	3.48	4	-3.48
校友	47	26	-1.92	21	1.92
javascript	47	42	2.92	5	-2.92
四	46	29	-1.14	17	1.14
总	46	34	0.95	12	-0.95
掌握	46	31	-0.94	15	0.94
共	46	31	-0.94	15	0.94
指出	46	29	-1.14	17	1.14
防护	46	27	-1.51	19	1.51
升级	46	30	-1.02	16	1.02
本文	46	31	-0.94	15	0.94
p	46	42	3.37	4	-3.37
通道	46	29	-1.14	17	1.14
美元	46	30	-1.02	16	1.02
现象	46	27	-1.51	19	1.51
相互	46	27	-1.51	19	1.51
考虑	46	31	-0.94	15	0.94
交	46	32	0.90	14	0.90
mi	46	46	7.10	0	-7.10
频道	45	36	1.33	9	-1.33
保障	45	29	-1.05	16	1.05
登录	45	45	6.95	0	-6.95
第三	45	34	1.01	11	-1.01
数据处理者	45	26	-1.58	19	1.58
费用	45	41	3.25	4	-3.25
按	45	35	1.14	10	-1.14
站	45	35	1.14	10	-1.14
五	45	30	-0.96	15	0.96
素养	45	28	-1.19	17	1.19
驱动	45	30	-0.96	15	0.96
正确	45	25	-1.84	20	1.84
大量	45	29	-1.05	16	1.05
更新	45	33	0.93	12	-0.93
非	45	29	-1.05	16	1.05
所以	45	32	0.89	13	0.89
doi	45	44	5.67	1	-5.67
01	44	33	0.98	11	-0.98
指	44	27	-1.24	17	1.24
